"ix","iy","cell_id","lat","long","State","County","City","Name","RegionID"
107,13,1070013,39.078230620196,-84.6093059718072,"OH","Hamilton","Cincinnati","Riverside","203181"
108,13,1080013,39.0782292688137,-84.6115651836794,"OH","Hamilton","Cincinnati","Riverside","203181"
109,13,1090013,39.0782278738385,-84.6138243954637,"OH","Hamilton","Cincinnati","Riverside","203181"
110,13,1100013,39.0782264352704,-84.6160836071573,"OH","Hamilton","Cincinnati","Riverside","203181"
111,13,1110013,39.0782249531093,-84.6183428187573,"OH","Hamilton","Cincinnati","Riverside","203181"
112,13,1120013,39.0782234273553,-84.6206020302611,"OH","Hamilton","Cincinnati","Riverside","203181"
113,13,1130013,39.0782218580085,-84.6228612416657,"OH","Hamilton","Cincinnati","Riverside","203181"
114,13,1140013,39.0782202450687,-84.6251204529685,"OH","Hamilton","Cincinnati","Riverside","203181"
115,13,1150013,39.078218588536,-84.6273796641665,"OH","Hamilton","Cincinnati","Riverside","203181"
116,13,1160013,39.0782168884104,-84.6296388752571,"OH","Hamilton","Cincinnati","Riverside","203181"
117,13,1170013,39.0782151446919,-84.6318980862374,"OH","Hamilton","Cincinnati","Riverside","203181"
3,14,30014,39.0803831465662,-84.3743479955207,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
4,14,40014,39.0803863288988,-84.3766072012955,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
5,14,50014,39.0803894676381,-84.3788664072728,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
6,14,60014,39.0803925627839,-84.3811256134496,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
7,14,70014,39.0803956143363,-84.3833848198233,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
8,14,80014,39.0803986222953,-84.3856440263911,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
9,14,90014,39.0804015866609,-84.38790323315,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
10,14,100014,39.0804045074331,-84.3901624400974,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
11,14,110014,39.0804073846118,-84.3924216472305,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
12,14,120014,39.0804102181971,-84.3946808545465,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
14,14,140014,39.0804157545873,-84.3991992697159,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
15,14,150014,39.0804184573921,-84.4014584775637,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
20,14,200014,39.0804313175143,-84.4127545193225,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
21,14,210014,39.0804337587582,-84.4150137281586,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
22,14,220014,39.0804361564086,-84.4172729371497,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
23,14,230014,39.0804385104655,-84.419532146293,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
24,14,240014,39.0804408209288,-84.4217913555856,"OH","Hamilton","Cincinnati","California","199824"
25,14,250014,39.0804430877986,-84.4240505650248,"OH","Hamilton","Cincinnati","East End","273544"
26,14,260014,39.0804453110748,-84.4263097746078,"OH","Hamilton","Cincinnati","East End","273544"
27,14,270014,39.0804474907575,-84.4285689843318,"OH","Hamilton","Cincinnati","East End","273544"
28,14,280014,39.0804496268466,-84.430828194194,"OH","Hamilton","Cincinnati","East End","273544"
94,14,940014,39.0804942231706,-84.5799362107389,"OH","Hamilton","Cincinnati","Riverside","203181"
95,14,950014,39.0804934384837,-84.5821954235005,"OH","Hamilton","Cincinnati","Riverside","203181"
96,14,960014,39.0804926102033,-84.5844546362104,"OH","Hamilton","Cincinnati","Riverside","203181"
97,14,970014,39.0804917383291,-84.5867138488659,"OH","Hamilton","Cincinnati","Riverside","203181"
98,14,980014,39.0804908228612,-84.5889730614642,"OH","Hamilton","Cincinnati","Riverside","203181"
99,14,990014,39.0804898637997,-84.5912322740024,"OH","Hamilton","Cincinnati","Riverside","203181"
100,14,1000014,39.0804888611445,-84.5934914864778,"OH","Hamilton","Cincinnati","Riverside","203181"
101,14,1010014,39.0804878148955,-84.5957506988877,"OH","Hamilton","Cincinnati","Riverside","203181"
102,14,1020014,39.080486725053,-84.5980099112291,"OH","Hamilton","Cincinnati","Riverside","203181"
104,14,1040014,39.0804844145869,-84.6025283356955,"OH","Hamilton","Cincinnati","Riverside","203181"
105,14,1050014,39.0804831939633,-84.604787547815,"OH","Hamilton","Cincinnati","Riverside","203181"
106,14,1060014,39.0804819297461,-84.6070467598549,"OH","Hamilton","Cincinnati","Riverside","203181"
111,14,1110014,39.0804749547552,-84.618342818763,"OH","Hamilton","Cincinnati","Riverside","203181"
112,14,1120014,39.0804734289762,-84.6206020302669,"OH","Hamilton","Cincinnati","Riverside","203181"
117,14,1170014,39.0804651461763,-84.6318980862435,"OH","Hamilton","Cincinnati","Riverside","203181"
118,14,1180014,39.0804633588355,-84.6341572971108,"OH","Hamilton","Cincinnati","Riverside","203181"
119,14,1190014,39.0804615279011,-84.6364165078622,"OH","Hamilton","Cincinnati","Riverside","203181"
2,15,20015,39.0826299207212,-84.3720887899489,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
3,15,30015,39.0826331467003,-84.3743479955181,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
4,15,40015,39.0826363290853,-84.3766072012924,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
5,15,50015,39.0826394678762,-84.3788664072692,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
6,15,60015,39.082642563073,-84.3811256134456,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
7,15,70015,39.0826456146756,-84.3833848198189,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
8,15,80015,39.0826486226842,-84.3856440263863,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
9,15,90015,39.0826515870985,-84.3879032331449,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
10,15,100015,39.0826545079188,-84.390162440092,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
11,15,110015,39.0826573851449,-84.3924216472247,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
12,15,120015,39.0826602187768,-84.3946808545404,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
13,15,130015,39.0826630088145,-84.3969400620361,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
14,15,140015,39.0826657552581,-84.3991992697092,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
20,15,200015,39.0826813184413,-84.4127545193145,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
21,15,210015,39.0826837597254,-84.4150137281504,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
22,15,220015,39.0826861574152,-84.4172729371414,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
23,15,230015,39.0826885115109,-84.4195321462845,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
24,15,240015,39.0826908220122,-84.4217913555771,"OH","Hamilton","Cincinnati","California","199824"
25,15,250015,39.0826930889193,-84.4240505650162,"OH","Hamilton","Cincinnati","East End","273544"
26,15,260015,39.0826953122322,-84.426309774599,"OH","Hamilton","Cincinnati","East End","273544"
27,15,270015,39.0826974919507,-84.428568984323,"OH","Hamilton","Cincinnati","East End","273544"
28,15,280015,39.082699628075,-84.4308281941851,"OH","Hamilton","Cincinnati","East End","273544"
91,15,910015,39.0827463176658,-84.5731585721743,"OH","Hamilton","Cincinnati","Riverside","203181"
92,15,920015,39.0827456637493,-84.5754177850743,"OH","Hamilton","Cincinnati","Riverside","203181"
93,15,930015,39.0827449662384,-84.5776769979311,"OH","Hamilton","Cincinnati","Riverside","203181"
94,15,940015,39.0827442251331,-84.5799362107417,"OH","Hamilton","Cincinnati","Riverside","203181"
95,15,950015,39.0827434404333,-84.5821954235035,"OH","Hamilton","Cincinnati","Riverside","203181"
96,15,960015,39.0827426121392,-84.5844546362137,"OH","Hamilton","Cincinnati","Riverside","203181"
97,15,970015,39.0827417402507,-84.5867138488694,"OH","Hamilton","Cincinnati","Riverside","203181"
98,15,980015,39.0827408247677,-84.5889730614679,"OH","Hamilton","Cincinnati","Riverside","203181"
99,15,990015,39.0827398656904,-84.5912322740063,"OH","Hamilton","Cincinnati","Riverside","203181"
100,15,1000015,39.0827388630187,-84.5934914864819,"OH","Hamilton","Cincinnati","Riverside","203181"
111,15,1110015,39.0827249564006,-84.6183428187687,"OH","Hamilton","Cincinnati","Riverside","203181"
118,15,1180015,39.0827133602899,-84.6341572971169,"OH","Hamilton","Cincinnati","Riverside","203181"
119,15,1190015,39.0827115293254,-84.6364165078683,"OH","Hamilton","Cincinnati","Riverside","203181"
120,15,1200015,39.0827096547665,-84.6386757185011,"OH","Hamilton","Cincinnati","Riverside","203181"
2,16,20016,39.0848799208022,-84.3720887899467,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
3,16,30016,39.0848831468343,-84.3743479955154,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
4,16,40016,39.0848863292717,-84.3766072012893,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
5,16,50016,39.0848894681142,-84.3788664072656,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
6,16,60016,39.084892563362,-84.3811256134416,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
7,16,70016,39.0848956150148,-84.3833848198145,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
8,16,80016,39.0848986230729,-84.3856440263815,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
9,16,90016,39.084901587536,-84.3879032331397,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
10,16,100016,39.0849045084043,-84.3901624400865,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
11,16,110016,39.0849073856778,-84.3924216472189,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
12,16,120016,39.0849102193563,-84.3946808545342,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
13,16,130016,39.0849130094399,-84.3969400620297,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
14,16,140016,39.0849157559287,-84.3991992697025,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
18,16,180016,39.0849263059346,-84.4082361021109,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
19,16,190016,39.0849288344488,-84.4104953106284,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
20,16,200016,39.084931319368,-84.4127545193064,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
21,16,210016,39.0849337606922,-84.4150137281423,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
22,16,220016,39.0849361584215,-84.4172729371331,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
23,16,230016,39.0849385125559,-84.4195321462761,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
24,16,240016,39.0849408230953,-84.4217913555685,"OH","Hamilton","Cincinnati","East End","273544"
25,16,250016,39.0849430900397,-84.4240505650075,"OH","Hamilton","Cincinnati","East End","273544"
26,16,260016,39.0849453133891,-84.4263097745903,"OH","Hamilton","Cincinnati","East End","273544"
27,16,270016,39.0849474931435,-84.4285689843141,"OH","Hamilton","Cincinnati","East End","273544"
28,16,280016,39.084949629303,-84.4308281941762,"OH","Hamilton","Cincinnati","East End","273544"
29,16,290016,39.0849517218674,-84.4330874041736,"OH","Hamilton","Cincinnati","East End","273544"
89,16,890016,39.0849974967311,-84.5686401462573,"OH","Hamilton","Cincinnati","Sedamsville","203427"
90,16,900016,39.0849969299941,-84.5708993592357,"OH","Hamilton","Cincinnati","Sedamsville","203427"
91,16,910016,39.084996319662,-84.5731585721764,"OH","Hamilton","Cincinnati","Riverside","203181"
92,16,920016,39.0849956657347,-84.5754177850767,"OH","Hamilton","Cincinnati","Riverside","203181"
93,16,930016,39.0849949682123,-84.5776769979337,"OH","Hamilton","Cincinnati","Riverside","203181"
94,16,940016,39.0849942270948,-84.5799362107446,"OH","Hamilton","Cincinnati","Riverside","203181"
95,16,950016,39.0849934423822,-84.5821954235066,"OH","Hamilton","Cincinnati","Riverside","203181"
96,16,960016,39.0849926140744,-84.584454636217,"OH","Hamilton","Cincinnati","Riverside","203181"
97,16,970016,39.0849917421716,-84.5867138488729,"OH","Hamilton","Cincinnati","Riverside","203181"
118,16,1180016,39.0849633617439,-84.634157297123,"OH","Hamilton","Cincinnati","Riverside","203181"
119,16,1190016,39.0849615307492,-84.6364165078745,"OH","Hamilton","Cincinnati","Riverside","203181"
120,16,1200016,39.0849596561595,-84.6386757185072,"OH","Hamilton","Cincinnati","Riverside","203181"
121,16,1210016,39.0849577379747,-84.6409349290185,"OH","Hamilton","Cincinnati","Riverside","203181"
3,17,30017,39.0871331469683,-84.3743479955127,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
4,17,40017,39.087136329458,-84.3766072012861,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
5,17,50017,39.0871394683522,-84.378866407262,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
6,17,60017,39.0871425636508,-84.3811256134376,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
7,17,70017,39.0871456153539,-84.3833848198101,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
8,17,80017,39.0871486234614,-84.3856440263767,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
9,17,90017,39.0871515879733,-84.3879032331346,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
10,17,100017,39.0871545088897,-84.390162440081,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
11,17,110017,39.0871573862104,-84.3924216472131,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
