"ix","iy","cell_id","lat","long"
116,63,"01160063",39.190716963373,-84.6296388755596
117,63,"01170063",39.190715218232,-84.631898086542
118,63,"01180063",39.1907134294625,-84.6341572974109
119,63,"01190063",39.1907115970646,-84.6364165081634
120,63,"01200063",39.1907097210382,-84.6386757187967
121,63,"01210063",39.1907078013834,-84.6409349293079
122,63,"01220063",39.1907058381002,-84.6431941396943
123,63,"01230063",39.1907038311885,-84.6454533499531
124,63,"01240063",39.1907017806485,-84.6477125600814
125,63,"01250063",39.19069968648,-84.6499717700765
126,63,"01260063",39.1906975486831,-84.6522309799355
127,63,"01270063",39.1906953672578,-84.6544901896557
128,63,"01280063",39.1906931422041,-84.6567493992342
129,63,"01290063",39.190690873522,-84.6590086086683
130,63,"01300063",39.1906885612115,-84.661267817955
131,63,"01310063",39.1906862052726,-84.6635270270918
132,63,"01320063",39.1906838057054,-84.6657862360756
133,63,"01330063",39.1906813625098,-84.6680454449037
134,63,"01340063",39.1906788756858,-84.6703046535734
135,63,"01350063",39.1906763452335,-84.6725638620817
136,63,"01360063",39.1906737711529,-84.674823070426
137,63,"01370063",39.1906711534439,-84.6770822786033
138,63,"01380063",39.1906684921065,-84.679341486611
139,63,"01390063",39.1906657871409,-84.6816006944461
140,63,"01400063",39.1906630385469,-84.6838599021059
141,63,"01410063",39.1906602463247,-84.6861191095876
142,63,"01420063",39.1906574104741,-84.6883783168883
143,63,"01430063",39.1906545309952,-84.6906375240053
144,63,"01440063",39.1906516078881,-84.6928967309358
145,63,"01450063",39.1906486411527,-84.6951559376769
146,63,"01460063",39.190645630789,-84.6974151442258
147,63,"01470063",39.190642576797,-84.6996743505798
148,63,"01480063",39.1906394791769,-84.7019335567361
149,63,"01490063",39.1906363379284,-84.7041927626917
150,63,"01500063",39.1906331530517,-84.706451968444
151,63,"01510063",39.1906299245468,-84.7087111739902
152,63,"01520063",39.1906266524137,-84.7109703793273
1,64,"00010064",39.192876652467,-84.3698295845042
2,64,"00020064",39.1928799246526,-84.3720887898408
3,64,"00030064",39.1928831532093,-84.3743479953865
4,64,"00040064",39.192886338137,-84.3766072011383
5,64,"00050064",39.1928894794358,-84.3788664070936
6,64,"00060064",39.1928925771056,-84.3811256132494
7,64,"00070064",39.1928956311466,-84.383384819603
8,64,"00080064",39.1928986415585,-84.3856440261516
9,64,"00090064",39.1929016083415,-84.3879032328923
10,64,"00100064",39.1929045314954,-84.3901624398224
11,64,"00110064",39.1929074110205,-84.3924216469391
12,64,"00120064",39.1929102469165,-84.3946808542395
13,64,"00130064",39.1929130391834,-84.3969400617209
14,64,"00140064",39.1929157878214,-84.3991992693804
15,64,"00150064",39.1929184928304,-84.4014584772153
16,64,"00160064",39.1929211542103,-84.4037176852227
17,64,"00170064",39.1929237719612,-84.4059768933998
18,64,"00180064",39.1929263460831,-84.4082361017439
19,64,"00190064",39.1929288765759,-84.410495310252
20,64,"00200064",39.1929313634397,-84.4127545189215
21,64,"00210064",39.1929338066744,-84.4150137277495
22,64,"00220064",39.19293620628,-84.4172729367331
23,64,"00230064",39.1929385622565,-84.4195321458697
24,64,"00240064",39.192940874604,-84.4217913551564
25,64,"00250064",39.1929431433224,-84.4240505645903
26,64,"00260064",39.1929453684116,-84.4263097741688
27,64,"00270064",39.1929475498718,-84.4285689838889
28,64,"00280064",39.1929496877029,-84.4308281937478
29,64,"00290064",39.1929517819048,-84.4330874037428
30,64,"00300064",39.1929538324777,-84.4353466138712
31,64,"00310064",39.1929558394214,-84.4376058241299
32,64,"00320064",39.192957802736,-84.4398650345163
