OBJECTID,TOWNSHIP,DISTZONE,ZONING,ZONE
234,CINCINNATI,CINCINNATI,SF-2,
235,CINCINNATI,CINCINNATI,SF-2,
236,CINCINNATI,CINCINNATI,RM-1.2,
237,CINCINNATI,CINCINNATI,SF-4,
238,CINCINNATI,CINCINNATI,PR,
239,CINCINNATI,CINCINNATI,SF-4,
240,CINCINNATI,CINCINNATI,SF-10,
274,CINCINNATI,CINCINNATI,RM-2.0,
275,CINCINNATI,CINCINNATI,SF-10,
276,CINCINNATI,CINCINNATI,PR,
277,CINCINNATI,CINCINNATI,SF-4,
278,CINCINNATI,CINCINNATI,RM-2.0,
279,CINCINNATI,CINCINNATI,RM-2.0,
280,CINCINNATI,CINCINNATI,ML,
281,CINCINNATI,CINCINNATI,RM-0.7,
282,CINCINNATI,CINCINNATI,OL,
283,CINCINNATI,CINCINNATI,SF-6,
284,CINCINNATI,CINCINNATI,PR,
285,CINCINNATI,CINCINNATI,SF-10,
286,CINCINNATI,CINCINNATI,SF-10,
287,CINCINNATI,CINCINNATI,CN-P,
288,CINCINNATI,CINCINNATI,RM-2.0,
256,CINCINNATI,CINCINNATI,RF-C,
257,CINCINNATI,CINCINNATI,SF-6,
258,CINCINNATI,CINCINNATI,SF-4,
259,CINCINNATI,CINCINNATI,RM-2.0,
260,CINCINNATI,CINCINNATI,CC-M,
261,CINCINNATI,CINCINNATI,OL,
262,CINCINNATI,CINCINNATI,CC-M,
263,CINCINNATI,CINCINNATI,CC-M,
264,CINCINNATI,CINCINNATI,PR,
265,CINCINNATI,CINCINNATI,PR,
266,CINCINNATI,CINCINNATI,PR,
267,CINCINNATI,CINCINNATI,PR,
268,CINCINNATI,CINCINNATI,RM-1.2,
269,CINCINNATI,CINCINNATI,RM-2.0,
270,CINCINNATI,CINCINNATI,SF-4,
271,CINCINNATI,CINCINNATI,CN-P,
272,CINCINNATI,CINCINNATI,SF-6,
273,CINCINNATI,CINCINNATI,PR,
307,CINCINNATI,CINCINNATI,RMX,
308,CINCINNATI,CINCINNATI,CN-M,
309,CINCINNATI,CINCINNATI,CN-P,
310,CINCINNATI,CINCINNATI,RF-R,
311,CINCINNATI,CINCINNATI,PR,
312,CINCINNATI,CINCINNATI,SF-20,
313,CINCINNATI,CINCINNATI,OL,
314,CINCINNATI,CINCINNATI,PR,
315,CINCINNATI,CINCINNATI,CC-A,
316,CINCINNATI,CINCINNATI,SF-6,
317,CINCINNATI,CINCINNATI,SF-4,
318,CINCINNATI,CINCINNATI,SF-10,
319,CINCINNATI,CINCINNATI,CC-A,
320,CINCINNATI,CINCINNATI,RM-0.7,
321,CINCINNATI,CINCINNATI,OL,
322,CINCINNATI,CINCINNATI,RM-1.2,
323,CINCINNATI,CINCINNATI,PR,
324,CINCINNATI,CINCINNATI,RM-2.0,
325,CINCINNATI,CINCINNATI,SF-10,
326,CINCINNATI,CINCINNATI,RM-1.2,
289,CINCINNATI,CINCINNATI,PR,
290,CINCINNATI,CINCINNATI,SF-20,
291,CINCINNATI,CINCINNATI,IR,
292,CINCINNATI,CINCINNATI,SF-20,
293,CINCINNATI,CINCINNATI,SF-4,
294,CINCINNATI,CINCINNATI,PR,
295,CINCINNATI,CINCINNATI,PR,
296,CINCINNATI,CINCINNATI,RMX,
297,CINCINNATI,CINCINNATI,SF-6,
298,CINCINNATI,CINCINNATI,CC-P,
299,CINCINNATI,CINCINNATI,RM-2.0,
300,CINCINNATI,CINCINNATI,CC-M,
301,CINCINNATI,CINCINNATI,SF-6,
302,CINCINNATI,CINCINNATI,RM-2.0,
303,CINCINNATI,CINCINNATI,RM-2.0,
304,CINCINNATI,CINCINNATI,RMX,
305,CINCINNATI,CINCINNATI,RM-0.7,
306,CINCINNATI,CINCINNATI,CN-P,
343,CINCINNATI,CINCINNATI,OL,
344,CINCINNATI,CINCINNATI,RM-1.2,
345,CINCINNATI,CINCINNATI,IR,
346,CINCINNATI,CINCINNATI,RM-2.0,
347,CINCINNATI,CINCINNATI,CN-M,
348,CINCINNATI,CINCINNATI,RM-2.0,
349,CINCINNATI,CINCINNATI,PR,
350,CINCINNATI,CINCINNATI,PR,
351,CINCINNATI,CINCINNATI,SF-2,
352,CINCINNATI,CINCINNATI,CC-M,
353,CINCINNATI,CINCINNATI,IR,
354,CINCINNATI,CINCINNATI,IR,
355,CINCINNATI,CINCINNATI,RM-2.0,
356,CINCINNATI,CINCINNATI,SF-2,
357,CINCINNATI,CINCINNATI,SF-2,
358,CINCINNATI,CINCINNATI,SF-4,
327,CINCINNATI,CINCINNATI,RM-2.0,
328,CINCINNATI,CINCINNATI,SF-4,
329,CINCINNATI,CINCINNATI,CN-P,
330,CINCINNATI,CINCINNATI,PR,
331,CINCINNATI,CINCINNATI,RM-2.0,
