"cell_id","lat_cell","long_cell","access","dblprk","dnotyld","jywalk","lvisib","lwfws","nobikef","noswlk","other","prkint","prkswlk","speed","vrrlss","wlksig","xwalk","assist","bikes","drives","other","walks","n_qst"
270041,39.1411975228181,-84.4285689840927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
270045,39.1501975275401,-84.4285689840572,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
270047,39.1546975298984,-84.4285689840395,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,7
270061,39.1861975463565,-84.4285689839155,0,0,3,1,2,0,0,0,14,1,0,7,6,1,4,0,0,20,3,16,68
280026,39.1074496415571,-84.430828194087,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
280031,39.1186996476669,-84.4308281940424,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
280034,39.1254496513273,-84.4308281940156,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,5
280036,39.1299496537652,-84.4308281939978,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6
280037,39.1321996549835,-84.4308281939888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
280046,39.1524496659273,-84.4308281939085,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,20
280050,39.1614496707792,-84.4308281938728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
280057,39.1771996792523,-84.4308281938103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
280058,39.1794496804609,-84.4308281938014,0,0,0,1,1,1,0,0,4,0,0,3,4,2,0,0,0,5,0,11,37
280060,39.1839496828768,-84.4308281937835,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3
290024,39.1029517319494,-84.4330874041019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
290027,39.1097017357223,-84.433087404075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
290028,39.111951736979,-84.433087404066,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
290030,39.116451739491,-84.4330874040481,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
290031,39.1187017407463,-84.4330874040391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
290036,39.1299517470156,-84.4330874039942,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
290045,39.1502017582705,-84.4330874039134,0,0,4,0,2,0,0,0,3,2,0,3,1,3,1,0,0,7,0,12,33
290046,39.1524517595186,-84.4330874039045,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,4,5
290048,39.1569517620136,-84.4330874038865,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,6
290052,39.1659517669978,-84.4330874038506,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
290058,39.1794517744598,-84.4330874037967,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
290061,39.1862017781845,-84.4330874037698,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
300028,39.1119537863521,-84.4353466141957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
300030,39.1164537889311,-84.4353466141776,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,2,7
300031,39.1187037902199,-84.4353466141686,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15
300032,39.1209537915082,-84.4353466141596,0,1,0,3,1,1,2,0,5,0,0,5,1,2,1,0,2,11,1,8,34
300038,39.1344537992279,-84.4353466141056,1,0,4,0,0,0,0,0,2,0,1,3,1,0,0,0,0,2,0,10,30
300041,39.1412038030812,-84.4353466140785,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4
300042,39.1434538043646,-84.4353466140695,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,5
