"cell_id","lat_cell","long_cell","category","valid_sale","median_sale_price","max_sale_price","num_prop_sales"
860045,39.1502489941765,-84.5618625071522,"commercial","N",12810.831,18503.023,3
860045,39.1502489941765,-84.5618625071522,"commercial","Y",36822.5,184112.5,9
860045,39.1502489941765,-84.5618625071522,"residential","N",30720,37290,3
860045,39.1502489941765,-84.5618625071522,"residential","Y",13273.5,58508.8,12
860046,39.1524989961928,-84.5618625071532,"residential","N",25600,25600,3
860046,39.1524989961928,-84.5618625071532,"residential","Y",25860,81576,8
860056,39.1749990163136,-84.561862507163,"residential","Y",342172,397760,3
860057,39.1772490183215,-84.561862507164,"commercial","N",2674805.76,2674805.76,1
860057,39.1772490183215,-84.561862507164,"residential","N",33990,54384,2
860057,39.1772490183215,-84.561862507164,"residential","Y",43424.4,59656.8,2
860058,39.1794990203286,-84.561862507165,"commercial","N",2674805.76,2674805.76,1
860066,39.197499036358,-84.5618625071728,"residential","Y",148504.7375,166797,6
860067,39.1997490383582,-84.5618625071738,"residential","N",115566,158572.227,3
860067,39.1997490383582,-84.5618625071738,"residential","Y",119798.5,207574.5,16
860068,39.2019990403577,-84.5618625071748,"industrial","Y",173349,173349,1
860068,39.2019990403577,-84.5618625071748,"residential","N",56650,72058.8,3
860068,39.2019990403577,-84.5618625071748,"residential","Y",86481.75,133825.5,8
870018,39.0894985034815,-84.5641217202009,"residential","N",22660,22660,1
870018,39.0894985034815,-84.5641217202009,"residential","Y",62541.6,226600,6
870019,39.0917485055113,-84.5641217202022,"commercial","Y",150689,150689,2
870019,39.0917485055113,-84.5641217202022,"residential","Y",65204.15,65204.15,1
870021,39.0962485095686,-84.5641217202046,"residential","N",38790,122081.28,7
870021,39.0962485095686,-84.5641217202046,"residential","Y",28160,83475,19
870022,39.098498511596,-84.5641217202058,"commercial","Y",26112,26112,1
870022,39.098498511596,-84.5641217202058,"residential","N",38790,101970,17
870022,39.098498511596,-84.5641217202058,"residential","Y",30877.5,370600,58
870023,39.1007485136228,-84.5641217202071,"residential","N",34978.02,71163.73,11
870023,39.1007485136228,-84.5641217202071,"residential","Y",39825.15,1680600,40
870024,39.1029985156487,-84.5641217202083,"publicly owned","Y",7680,7680,1
870024,39.1029985156487,-84.5641217202083,"residential","Y",108029.35,244748.7,10
870025,39.1052485176739,-84.5641217202095,"commercial","Y",1357650,1357650,3
870025,39.1052485176739,-84.5641217202095,"residential","N",36896,79310,17
870025,39.1052485176739,-84.5641217202095,"residential","Y",35081.25,366423.53,66
870026,39.1074985196984,-84.5641217202108,"commercial","Y",25860,25860,1
870026,39.1074985196984,-84.5641217202108,"residential","N",31724,71800.29,5
870026,39.1074985196984,-84.5641217202108,"residential","Y",37776,107000,12
870027,39.1097485217221,-84.564121720212,"commercial","N",59233,166400,4
870027,39.1097485217221,-84.564121720212,"commercial","Y",57600,701190,17
870027,39.1097485217221,-84.564121720212,"industrial","Y",59768.35,63000,2
870027,39.1097485217221,-84.564121720212,"publicly owned","Y",159443.3,318664,2
870027,39.1097485217221,-84.564121720212,"residential","N",32318,69120,13
870027,39.1097485217221,-84.564121720212,"residential","Y",12603.5,1811438,68
870028,39.111998523745,-84.5641217202132,"residential","N",18284,18284,1
870028,39.111998523745,-84.5641217202132,"residential","Y",272684.25,460800,28
870029,39.1142485257671,-84.5641217202144,"commercial","Y",22260,22260,1
870029,39.1142485257671,-84.5641217202144,"residential","N",30525,39776,6
870029,39.1142485257671,-84.5641217202144,"residential","Y",15360,67712,33
870030,39.1164985277885,-84.5641217202157,"residential","N",73418.4,73418.4,1
870030,39.1164985277885,-84.5641217202157,"residential","Y",22660,122430,20
870033,39.1232485338482,-84.5641217202194,"commercial","Y",23140,26120,2
870033,39.1232485338482,-84.5641217202194,"residential","N",18206,49852,24
870033,39.1232485338482,-84.5641217202194,"residential","Y",9103.6,866200,60
870035,39.1277485378841,-84.5641217202218,"commercial","Y",6678,50085,7
870035,39.1277485378841,-84.5641217202218,"residential","N",27207.76,84045,12
870035,39.1277485378841,-84.5641217202218,"residential","Y",4750.95,207540,30
870036,39.1299985399009,-84.5641217202231,"commercial","N",317240,317240,2
870036,39.1299985399009,-84.5641217202231,"commercial","Y",215270,8e+05,6
870036,39.1299985399009,-84.5641217202231,"residential","N",2051.84,35727.3,3
870037,39.132248541917,-84.5641217202243,"residential","N",5224,49628,3
870037,39.132248541917,-84.5641217202243,"residential","Y",5265.92,41824,11
870041,39.1412485499736,-84.5641217202292,"residential","N",25600,25600,2
870041,39.1412485499736,-84.5641217202292,"residential","Y",25860,61440,4
870043,39.1457485539973,-84.5641217202317,"residential","Y",122835,122835,1
870045,39.150248558018,-84.5641217202341,"commercial","Y",140800,320072.5,14
870045,39.150248558018,-84.5641217202341,"residential","N",36256,67980,16
870045,39.150248558018,-84.5641217202341,"residential","Y",17844.75,61588,36
870046,39.1524985600272,-84.5641217202354,"residential","Y",7836,7836,1
870047,39.1547485620357,-84.5641217202366,"residential","Y",994001.3,994001.3,1
870058,39.1794985840782,-84.5641217202501,"residential","N",30720,51355.491,7
