"cell_id","lat_cell","long_cell","sum_cost","num_events"
700059,39.1817500693554,-84.5257150960837,61.782,9
700060,39.1840000713779,-84.5257150960805,33.859,7
700061,39.1862500733996,-84.5257150960774,20.164,2
700063,39.1907500774408,-84.5257150960712,144.761,18
700064,39.1930000794602,-84.525715096068,24.081,7
700067,39.1997500855139,-84.5257150960586,10.082,1
710020,39.0940002514635,-84.5279743093707,30.246,3
710021,39.0962502535204,-84.5279743093679,80.656,8
710022,39.0985002555765,-84.527974309365,111.814,14
710023,39.1007502576318,-84.5279743093621,305.882,36
710024,39.1030002596864,-84.5279743093593,2057.139,225
710025,39.1052502617402,-84.5279743093564,2270.798,255
710026,39.1075002637932,-84.5279743093535,698.585,76
710027,39.1097502658455,-84.5279743093507,783.045,86
710028,39.112000267897,-84.5279743093478,732.422,84
710029,39.1142502699477,-84.5279743093449,1506.729,165
710030,39.1165002719976,-84.5279743093421,999.016,111
710031,39.1187502740468,-84.5279743093392,448.932,51
710032,39.1210002760952,-84.5279743093363,610.852,69
710033,39.1232502781428,-84.5279743093335,201.944,21
710034,39.1255002801896,-84.5279743093306,363.256,37
710035,39.1277502822357,-84.5279743093277,485.039,49
710036,39.130000284281,-84.5279743093248,488.298,55
710037,39.1322502863256,-84.527974309322,337.422,38
710038,39.1345002883693,-84.5279743093191,232.989,24
710039,39.1367502904123,-84.5279743093162,365.158,38
710040,39.1390002924545,-84.5279743093134,397.093,45
710041,39.1412502944959,-84.5279743093105,274.561,30
710042,39.1435002965366,-84.5279743093076,100.961,11
710043,39.1457502985765,-84.5279743093047,245.7,30
710044,39.1480003006156,-84.5279743093019,20.164,2
710045,39.1502503026539,-84.527974309299,22.37,4
710046,39.1525003046915,-84.5279743092961,10.082,1
710047,39.1547503067283,-84.5279743092933,20.164,2
710048,39.1570003087643,-84.5279743092904,0.141,1
710049,39.1592503107996,-84.5279743092875,647.907,76
710050,39.1615003128341,-84.5279743092846,379.811,47
710051,39.1637503148678,-84.5279743092818,60.796,7
710054,39.1705003209642,-84.5279743092732,10.082,1
710058,39.1795003290821,-84.5279743092617,41.431,5
710059,39.1817503311096,-84.5279743092588,20.21,3
710060,39.1840003331363,-84.5279743092559,98.459,16
710061,39.1862503351623,-84.527974309253,41.431,5
710062,39.1885003371875,-84.5279743092502,33.06,7
710063,39.1907503392119,-84.5279743092473,10.082,1
710064,39.1930003412356,-84.5279743092444,21.571,4
710065,39.1952503432585,-84.5279743092416,10.082,1
710066,39.1975003452806,-84.5279743092387,20.164,2
710067,39.1997503473019,-84.5279743092358,60.492,6
710070,39.2065003533613,-84.5279743092272,20.164,2
710071,39.2087503553795,-84.5279743092243,40.328,4
710072,39.211000357397,-84.5279743092214,10.082,1
720021,39.0962504715138,-84.5302335225487,30.246,3
720022,39.0985004735735,-84.530233522546,207.763,27
720023,39.1007504756324,-84.5302335225434,752.074,82
720024,39.1030004776906,-84.5302335225408,1392.639,162
720025,39.105250479748,-84.5302335225382,1955.074,231
720026,39.1075004818046,-84.5302335225356,1445.551,162
720027,39.1097504838604,-84.530233522533,1964.407,229
720028,39.1120004859154,-84.5302335225304,1131.185,125
720029,39.1142504879697,-84.5302335225278,1193.406,137
720030,39.1165004900232,-84.5302335225252,875.331,98
720031,39.118750492076,-84.5302335225225,725.063,83
720032,39.1210004941279,-84.5302335225199,462.32,64
720033,39.1232504961791,-84.5302335225173,256.108,31
720034,39.1255004982295,-84.5302335225147,335.52,37
720035,39.1277505002791,-84.5302335225121,309.686,38
720036,39.130000502328,-84.5302335225095,630.499,73
720037,39.1322505043761,-84.5302335225069,1083.495,129
720038,39.1345005064234,-84.5302335225042,212.825,22
720039,39.1367505084699,-84.5302335225016,334.113,35
720040,39.1390005105157,-84.530233522499,1309.819,141
720041,39.1412505125607,-84.5302335224964,881.192,93
720042,39.1435005146049,-84.5302335224938,70.574,7
720043,39.1457505166483,-84.5302335224912,162.415,17
720044,39.148000518691,-84.5302335224886,61.899,8
720045,39.1502505207329,-84.530233522486,121.288,13
720046,39.152500522774,-84.5302335224833,40.632,5
720047,39.1547505248144,-84.5302335224807,20.164,2
720048,39.1570005268539,-84.5302335224781,182.579,19
720049,39.1592505288927,-84.5302335224755,214.84,26
720050,39.1615005309307,-84.5302335224729,290.975,39
720051,39.163750532968,-84.5302335224703,40.328,4
720052,39.1660005350045,-84.5302335224676,30.246,3
