"cell_id","lat","long","neighborhood","dist","stop_id","lat_stop","long_stop","n_object"
970024,39.1029917575126,-84.5867138489009,"West Price HIll",0.00421853794518005,1320410,39.107133,-84.58591,5
980024,39.1029908418943,-84.5889730615011,"West Price HIll",0.00437413299051886,1320400,39.107317,-84.588327,5
990024,39.1029898826752,-84.5912322740413,"West Price HIll",0.00460366940788451,1320380,39.107581,-84.591572,5
1380024,39.1029184645114,-84.6793414864521,"Sayler Park",0.00102939087895817,2853350,39.102352,-84.680201,1
1390024,39.1029157612621,-84.6816006942974,"Sayler Park",0.000390912205924224,1500310,39.103018,-84.681978,1
1400024,39.102913014412,-84.6838599019679,"Sayler Park",0.00135002960734639,1500300,39.104263,-84.683849,1
1410024,39.1029102239614,-84.686119109461,"Sayler Park",0.00228972231942136,1500290,39.10501,-84.685206,1
70025,39.1051456180618,-84.3833848197749,"Mt. Washington",0.00495388308224537,1300270,39.101656,-84.386901,12
80025,39.1051486265645,-84.3856440263384,"Mt. Washington",0.00324163333831708,2850536,39.102727,-84.387799,12
90025,39.1051515914658,-84.3879032330934,"Mt. Washington",0.00178942665485761,2850537,39.103905,-84.389187,12
100025,39.1051545127659,-84.390162440037,"Mt. Washington",0.00080598272266898,1240510,39.104477,-84.390599,12
110025,39.1051573904646,-84.3924216471665,"Mt. Washington",0.000532876986180482,2850538,39.104799,-84.392816,12
140025,39.1051657619527,-84.3991992696421,"Mt. Washington",0.00639379743608641,2850538,39.104799,-84.392816,12
190025,39.1051788424059,-84.4104953105578,"East End",0.0136501568233703,2850228,39.118438,-84.413739,12
200025,39.1051813276924,-84.4127545192343,"East End",0.0125547157061293,2850672,39.113808,-84.421876,6
210025,39.1051837693775,-84.4150137280687,"East End",0.0110212580901258,2850672,39.113808,-84.421876,6
220025,39.1051861674612,-84.4172729370581,"East End",0.00932083732446534,2850671,39.110561,-84.424888,6
230025,39.1051885219435,-84.4195321461999,"East End",0.00758608531428391,2850671,39.110561,-84.424888,6
240025,39.1051908328244,-84.4217913554912,"East End",0.00608593793250371,2852281,39.109428,-84.42616,6
250025,39.1051931001039,-84.4240505649293,"East End",0.00473118309173266,2852281,39.109428,-84.42616,6
260025,39.105195323782,-84.4263097745113,"East End",0.00317302882311218,2850669,39.10784,-84.428063,6
270025,39.1051975038586,-84.4285689842344,"East End",0.00255658593188259,2850668,39.107376,-84.429907,6
280025,39.1051996403338,-84.4308281940959,"East End",0.00236329007085018,2850668,39.107376,-84.429907,6
290025,39.1052017332075,-84.4330874040929,"East End",0.00346473294455808,2853391,39.107724,-84.430712,5
300025,39.1052037824798,-84.4353466142227,"East End",0.00460294163531924,1280430,39.10858,-84.432218,6
560025,39.1052417594344,-84.494086115039,"Mt. Adams",0.000679514787842995,2850732,39.104917,-84.494683,5
570025,39.1052426314658,-84.4963453276967,"Mt. Adams",0.00157249175694564,2280100,39.103685,-84.496561,5
580025,39.1052434598956,-84.498604540409,"Mt. Adams",0.00256999117691575,2280100,39.103685,-84.496561,5
590025,39.1052442447239,-84.500863753173,"Mt. Adams",0.00355293689026561,2280090,39.10222,-84.498999,5
600025,39.1052449859506,-84.5031229659859,"Mt. Adams",0.00202153364382757,2110060,39.107044,-84.504045,12
610025,39.1052456835757,-84.5053821788449,"Central Business District",0.00171407747603609,1691020,39.105392,-84.50709,12
620025,39.1052463375992,-84.5076413917472,"Central Business District",0.000560344585151987,2850238,39.105374,-84.508187,12
630025,39.1052469480212,-84.50990060469,"Central Business District",0.000668479960746454,1691040,39.104998,-84.510521,12
640025,39.1052475148416,-84.5121598176706,"Central Business District",0.000527142899028707,1431760,39.104738,-84.512295,46
650025,39.1052480380605,-84.5144190306861,"Central Business District",0.000167552313815783,2670110,39.105414,-84.514396,17
660025,39.1052485176777,-84.5166782437338,"Central Business District",0.000623954936946268,2850879,39.104815,-84.517127,7
670025,39.1052489536934,-84.5189374568108,"West End",0.000533271041300374,2670120,39.104742,-84.518772,12
680025,39.1052493461075,-84.5211966699144,"West End",0.000908411333852277,2851749,39.10442,-84.520826,1
690025,39.10524969492,-84.5234558830417,"West End",0.00261215523440937,1670420,39.104357,-84.521001,9
700025,39.1052500001309,-84.52571509619,"West End",0.00249640878668477,2160090,39.106342,-84.52796,5
710025,39.1052502617402,-84.5279743093564,"West End",0.00109183203176194,2160090,39.106342,-84.52796,5
720025,39.105250479748,-84.5302335225382,"West End",0.00158169532807482,1270800,39.104048,-84.529206,6
730025,39.1052506541541,-84.5324927357326,"Lower Price Hill",0.00183690553858205,1330950,39.103493,-84.531959,8
