"cell_id","lat_cell","long_cell","animals_insects","building related","construction","food","others","police property","service complaint","street_sidewalk","traffic_signal","trash","trees_plants","water leak","zoning_parking","n_request"
90020,39.0939015892843,-84.3879032331191,1,14,0,3,82,3,3,60,3,44,17,1,3,234
90021,39.0961515897209,-84.387903233114,1,23,1,2,47,0,1,18,8,45,4,0,3,153
90022,39.0984015901574,-84.3879032331088,4,18,0,0,13,1,2,4,0,29,3,0,9,83
90023,39.1006515905937,-84.3879032331037,0,7,0,0,17,0,0,26,0,71,0,0,0,121
90024,39.1029015910298,-84.3879032330985,0,17,1,0,47,0,0,33,0,101,12,0,3,214
90025,39.1051515914658,-84.3879032330934,1,3,1,0,28,4,0,14,0,90,8,0,0,149
90026,39.1074015919016,-84.3879032330882,0,1,0,0,7,0,1,7,0,54,3,0,0,73
90045,39.1501516001512,-84.3879032329903,0,1,0,0,9,0,0,1,0,9,0,0,0,20
90046,39.1524016005837,-84.3879032329851,0,0,0,0,19,0,3,12,0,67,0,0,0,101
90047,39.1546516010161,-84.38790323298,2,18,0,0,47,1,1,18,0,166,21,1,0,275
90048,39.1569016014483,-84.3879032329748,1,32,0,0,67,6,10,10,0,238,5,2,0,371
90049,39.1591516018804,-84.3879032329697,2,17,0,0,47,1,1,20,0,126,12,2,1,229
90050,39.1614016023123,-84.3879032329645,2,14,0,1,59,3,1,18,0,148,17,1,0,264
90051,39.163651602744,-84.3879032329594,2,39,0,0,52,2,2,35,1,260,20,1,0,414
90052,39.1659016031755,-84.3879032329542,2,7,0,4,13,0,0,16,0,29,4,0,1,76
100014,39.0804045074331,-84.3901624400974,0,1,0,0,28,0,3,16,0,132,0,0,0,180
100015,39.0826545079188,-84.390162440092,1,9,0,0,37,1,2,12,0,134,2,1,0,199
100016,39.0849045084043,-84.3901624400865,0,9,0,0,35,7,3,14,0,105,2,0,0,175
100017,39.0871545088897,-84.390162440081,15,36,0,0,103,6,0,22,0,89,9,0,3,283
100018,39.0894045093748,-84.3901624400755,2,27,0,0,77,0,0,14,0,87,11,1,4,223
100019,39.0916545098598,-84.39016244007,0,4,0,1,54,1,0,20,1,24,7,0,0,112
